,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
154,39.99962729215622,1.113070998626148,0.23908859491348267,0.022142932781504285,entropy,55,7,0.8961070524825939,0.8960403353014902,0.8969124241687754,0.8967837553195038,0.8964608918180909,0.00039057405292067357,82,1.0,1.0,1.0,1.0,1.0,0.0
227,55.85890483856201,2.6426782558999133,0.21273499727249146,0.016277971101181822,entropy,100,10,0.8967599277548239,0.8951730119471409,0.8968504725006076,0.897045858530983,0.8964573176833889,0.000748659655498128,83,1.0,1.0,1.0,1.0,1.0,0.0
4,41.26876562833786,1.3966130705909459,0.1414589285850525,0.020314038245628756,gini,30,12,0.8964835280045368,0.8968743000652876,0.8958401837581789,0.8966217278796803,0.8964549349269209,0.0003815834023921708,84,0.9939938461147444,0.9940669175452447,0.9947801582473023,0.9936793212617212,0.9941300607922532,0.0004025960548294888
130,34.43085390329361,0.1240102401065197,0.16420304775238037,0.005500940974740645,entropy,40,7,0.8953398048999004,0.8957591700382671,0.89734608584595,0.897050624043919,0.8963739212070091,0.0008441484393734874,85,0.9998316180079775,0.9999205745320648,0.9999348711162932,0.9999666413034672,0.9999134262399507,5.008844828188196e-05
162,39.89316016435623,0.8272812188379397,0.2340736985206604,0.023610094999291988,entropy,60,7,0.8954017565680682,0.896392983258753,0.8967646932677599,0.8967694587806958,0.8963322229688192,0.0005584946844896109,86,1.0,1.0,1.0,1.0,1.0,0.0
133,74.11686158180237,5.201395341420249,0.1895287036895752,0.029963131914878465,entropy,40,14,0.8960165077368103,0.8967694587806958,0.8964358728751769,0.8960879904308501,0.8963274574558833,0.00030048014000365195,87,0.9999698183221847,0.9999523447192389,0.9999936459625652,0.9999110434759126,0.9999567131199754,3.016861158773095e-05
202,37.88242596387863,0.49631149222034765,0.1835198998451233,0.0036974223918158663,entropy,85,7,0.8946154469336307,0.8972984307165902,0.8968171139100557,0.8965550106985766,0.8963215005647133,0.00102043753905796,88,1.0,1.0,1.0,1.0,1.0,0.0
123,55.45960146188736,0.8791704402412212,0.20202893018722534,0.022590196394561363,entropy,30,10,0.8950634051496132,0.8966932105737201,0.8967789898065678,0.8966026658279364,0.8962845678394594,0.0007077899778834036,89,0.9963384859281899,0.9968706365633553,0.9956045946044692,0.9956554269039476,0.9961172859999904,0.0005226453795827136
146,39.81159406900406,0.7422990939576831,0.22386884689331055,0.018828516545890163,entropy,50,7,0.8957305769606512,0.8961975972283777,0.8965597762115125,0.8964263418493049,0.8962285730624616,0.0003153441131154558,90,1.0,1.0,1.0,1.0,1.0,0.0
218,38.288884341716766,1.4453853444726636,0.1981363296508789,0.02610006216199774,entropy,95,7,0.8959640870945145,0.8962595488965455,0.8952635566929247,0.8973031962295261,0.8961975972283777,0.000733680084405901,91,1.0,1.0,1.0,1.0,1.0,0.0
30,77.67852574586868,1.8684167251628765,0.23615729808807373,0.04511925997157668,gini,50,16,0.8952444946411807,0.895773466577075,0.897031561992175,0.8965216521080247,0.8961427938296138,0.0006849792867872598,92,0.9999904689438478,0.9999491677005216,0.9999984114906413,0.9999920574532065,0.9999825263970543,1.9487585237622566e-05
124,63.5634491443634,1.5629066996057652,0.1980992555618286,0.005010968697000582,entropy,30,12,0.8951301223307171,0.8958258872193708,0.8965168865950887,0.8967742242936318,0.896061780109702,0.0006399863867904425,93,0.9963575480404943,0.9960557312623407,0.9968515744510509,0.9958651101392964,0.9962824909732955,0.0003725306346774607
